name,profileUrl,website,founderName,linkedinUrl
Veles,https://www.ycombinator.com/companies/veles,http://www.getveles.com,Simon Ooley,https://linkedin.com/in/simonooley
Veles,https://www.ycombinator.com/companies/veles,http://www.getveles.com,Patrick Koperwas,https://linkedin.com/in/patkoperwas
Delve,https://www.ycombinator.com/companies/delve,https://delve.co/?utm_source=yc&utm_medium=bio&utm_campaign=delve,Karun Kaushik,https://linkedin.com/in/karun-kaushik
Delve,https://www.ycombinator.com/companies/delve,https://delve.co/?utm_source=yc&utm_medium=bio&utm_campaign=delve,Selin Kocalar,https://linkedin.com/in/selin-kocalar
Bilanc,https://www.ycombinator.com/companies/bilanc,https://www.bilanc.co,Samuel Akinwunmi,https://linkedin.com/in/0x-s13i
Salvy,https://www.ycombinator.com/companies/salvy,https://www.salvy.com.br,Artur Negrão,https://linkedin.com/in/arturnegrao
Salvy,https://www.ycombinator.com/companies/salvy,https://www.salvy.com.br,Hudo Assenco,https://linkedin.com/in/hudo-assenco
Salvy,https://www.ycombinator.com/companies/salvy,https://www.salvy.com.br,Maria Eduarda Kumlehn,https://www.linkedin.com/in/mariaeduardakumlehn/
Salvy,https://www.ycombinator.com/companies/salvy,https://www.salvy.com.br,Lucas Rosa,https://linkedin.com/in/lucas-rosa-3080b43b
Artisan,https://www.ycombinator.com/companies/artisan,https://artisan.co/?utm_source=ycombinator,Jaspar Carmichael-Jack,https://linkedin.com/in/jaspar-carmichael-jack
Foundation,https://www.ycombinator.com/companies/foundation-2,https://buildwithfoundation.com/,Luke Groesbeck,https://linkedin.com/in/lukegroesbeck
Foundation,https://www.ycombinator.com/companies/foundation-2,https://buildwithfoundation.com/,Derek Schairer,https://www.linkedin.com/in/derekschairer/
Strada,https://www.ycombinator.com/companies/strada,https://www.getstrada.com/,Amir Prodensky,https://linkedin.com/in/aprodensky
Strada,https://www.ycombinator.com/companies/strada,https://www.getstrada.com/,Arash Khazaei,https://linkedin.com/in/arash-khazaei-18063260
Fragment,https://www.ycombinator.com/companies/fragment,https://checkfragment.com,Olivier Moindrot,https://linkedin.com/in/omoindrot
Fragment,https://www.ycombinator.com/companies/fragment,https://checkfragment.com,Guillaume Genthial,https://linkedin.com/in/guillaumegenthial
Health Harbor,https://www.ycombinator.com/companies/health-harbor,https://healthharbor.co/,Alan Liu,https://www.linkedin.com/in/alanliu96
Agentive,https://www.ycombinator.com/companies/agentive,https://www.goagentive.com,Daniel Alberson,https://linkedin.com/in/alberson
Elyos,https://www.ycombinator.com/companies/elyos,https://,Adrian Johnston,https://www.linkedin.com/in/adrian-johnston-87667a2b/
Elyos,https://www.ycombinator.com/companies/elyos,https://,Philippa Brown,https://www.linkedin.com/in/philippa-brown-
Elyos,https://www.ycombinator.com/companies/elyos,https://,Panos Stravopodis,https://linkedin.com/in/pstrav
Twenty,https://www.ycombinator.com/companies/twenty,https://twenty.com,Félix Malfait,https://linkedin.com/in/fmalfait
Twenty,https://www.ycombinator.com/companies/twenty,https://twenty.com,Charles Bochet,https://linkedin.com/in/charlesbochet
Twenty,https://www.ycombinator.com/companies/twenty,https://twenty.com,Thomas des Francs,https://www.linkedin.com/in/tdesfrancs/
HockeyStack,https://www.ycombinator.com/companies/hockeystack,https://hockeystack.com,Buğra Gündüz,https://www.linkedin.com/in/bgrgndzz
HockeyStack,https://www.ycombinator.com/companies/hockeystack,https://hockeystack.com,Emir Atli,https://www.linkedin.com/in/emircatli/
HockeyStack,https://www.ycombinator.com/companies/hockeystack,https://hockeystack.com,Arda Bulut,https://www.linkedin.com/in/ardabulut-627211/
